Galaxy has_companion GPorNOT
J094458.22-004545.4 1 0
J130211.15-000516.4 0 0
J232539.23+004507.2 0 0
J032244.89+004442.3 0 0
J012910.15+145934.6 0 0
J030321.41-075923.2 0 0
J032613.62-063512.5 0 0
J033947.79-072541.2 0 0
J105716.72+023207.0 0 0
J124423.37+021540.4 0 0
J084216.95+033806.6 0 0
J154709.10+033614.0 0 0
J223735.05+133647.0 0 0
J144231.37-020952.0 0 0
J103138.93+071556.5 0 0
J124834.63+123402.9 1 0
J160436.66+081959.1 0 0
J155925.97+084119.1 0 0
J101157.08+130822.0 0 0
J163719.30+143904.9 1 0
J092532.36+140313.1 0 0
J161306.31+092949.1 1 0
J080518.06+092533.3 0 0
NORMAL-1 0 2
NORMAL-2 0 2
NORMAL-3 0 2
NORMAL-4 0 2
NORMAL-5 0 2
NORMAL-6 0 2
NORMAL-7 0 2
NORMAL-8 0 2
NORMAL-9 0 2
NORMAL-10 0 2
NORMAL-11 0 2
NORMAL-12 0 2
NORMAL-13 0 2
NORMAL-14 0 2
NORMAL-15 0 2
NORMAL-16 0 2
NORMAL-17 0 2
NORMAL-18 0 2
NORMAL-19 0 2
NORMAL-20 0 2
NORMAL-21 0 2
NORMAL-22 0 2
NORMAL-23 0 2
NORMAL-24 0 2
NORMAL-25 0 2
NORMAL-26 0 2
NORMAL-27 0 2
NORMAL-28 0 2
NORMAL-29 0 2
NORMAL-30 0 2
NORMAL-31 0 2
NORMAL-32 0 2
NORMAL-33 0 2
NORMAL-34 0 2
NORMAL-35 0 2
NORMAL-36 0 2
NORMAL-37 0 2
NORMAL-38 0 2
NORMAL-39 0 2
NORMAL-40 0 2
NORMAL-41 0 2
NORMAL-42 0 2
NORMAL-43 0 2
