LX,Ngal
0.02310462,4
0.12669062,6
0.09641068,3
0.34097833,3
0.12282188,52
0.01768934,8
0.00829564,5
0.05096673,6
0.01960307,9
0.10121588,37
0.04176708,29
0.0165902,6
0.0689022,30
0.00320002,15
0.00682897,3
0.02512552,17
0.0003224,4
0.0020454,16
0.01603132,9
0.13612107,22
0.01225869,6
0.01292748,4
0.00035379,14
0.01641744,25
0.00400673,7
0.02556794,11
0.00636395,16
0.27850012,53
0.02094112,4
0.04974962,30
0.00077639,7
0.03120947,9
0.03432231,11
0.00175209,6
0.0363333,9
0.00977939,4
0.00505761,19
0.00180537,8
0.06467336,12
0.0015043,4
0.30085563,4
0.04857962,11
0.00170949,9
0.03487923,3
0.38843092,91
0.05664455,17
0.01423334,10
0.02586406,6
0.14726999,55
0.00903898,7
0.04058226,5
0.02755164,7
0.00279507,7
0.00818363,3
0.01004006,5
0.02640829,13
0.05151295,40
0.11592278,30
0.01777607,7
0.46892101,51
0.00378154,4
0.36782973,23
0.22552374,9
0.18182888,109
0.00588661,3
0.008625,4
0.08088271,33
0.16404891,16
0.05602163,24
0.03149928,8
0.00391934,5
0.01220819,3
0.02398147,5
0.02447847,5
0.02000051,10
0.0433861,16
0.00809761,4
0.025102,6
0.24012311,72
0.00309244,6
0.00621593,4
0.05455434,18
0.04728105,17
0.02032568,9
0.00514265,17
0.00294852,5
0.22244495,52
0.05739184,38
0.16702717,31
0.03841713,16
0.01992022,13
0.00215045,4
0.02941049,7
0.02508085,5
0.12622356,71
0.04288826,12
0.41556726,119
0.00376757,6
0.02555633,6
0.06970651,46
0.00013931,3
0.03166927,11
0.19295607,61
0.027782,14
0.04413588,10
0.00583358,10
0.0298033,4
0.00525605,5
0.00336026,5
0.03581123,17
0.10413209,48
0.05900611,8
0.00786447,4
0.04221469,7
0.10694376,41
0.04932687,29
0.02371101,6
0.24936745,66
0.02710775,8
0.00333171,6
0.0323595,11
0.0909305,36
0.07691933,14
0.03045134,7
0.01297267,26
0.03579251,4
0.08956066,18
0.00758567,3
0.01624731,6
0.05669091,12
0.01819234,6
0.01654186,10
0.01259847,3
0.06590485,27
0.11581722,13
0.03594561,5
0.03278709,9
0.00343953,10
0.01303616,3
0.00235888,9
0.00548039,6
0.00566612,4
0.01150266,8
0.04100198,26
0.03142034,7
0.47627283,154
0.04076648,11
0.01012563,4
0.14035537,19
0.01829558,6
0.03227405,14
0.02204628,3
0.02534597,4
0.02462127,7
0.04066458,16
0.06049783,21
0.01620447,14
0.05000796,10
0.01825095,4
0.05710736,37
0.10015346,29
0.04363628,13
0.06677383,25
0.0408961,8
0.06924515,18
0.00219348,4
0.00856097,6
0.01128511,10
0.04190126,11
0.04566706,7
0.04879426,6
0.05768803,23
0.0497658,23
0.01884365,5
0.01669648,9
0.01324733,5
0.02453941,7
0.01242899,3
0.00219055,14
0.00369595,5
0.00866918,8
0.05883226,37
0.0038917,17
0.11343015,55
0.01695897,7
0.01296525,3
0.07711634,14
4.989e-05,7
0.01376245,3
0.02404712,9
0.04318323,13
0.04810019,14
0.00630107,7
0.07556739,101
0.02901529,7
0.04436485,14
0.02310539,10
0.00169939,5
0.02503316,11
0.00360356,5
0.02311964,16
0.02870856,16
0.03893693,12
0.03279002,3
0.00283337,6
0.02358079,3
0.10095367,43
0.05191578,29
0.04892807,17
0.01533493,100
0.02012776,3
0.06750484,14
0.00331156,6
0.02684784,6
0.01772942,6
0.00547003,9
0.02040174,13
0.00879469,4
0.0216154,8
0.00549126,3
0.02181505,6
0.03428819,9
0.04555221,23
0.05388449,25
0.02814342,17
0.0090263,8
0.00291679,22
0.00957873,4
0.02533556,3
0.07447591,26
0.01024817,32
0.02439919,8
0.03550599,11
0.10877065,5
0.00950505,3
0.01977372,5
0.07778484,15
0.00688438,14
0.03331489,8
0.01401184,11
0.01539346,27
0.05736428,18
0.01403806,3
0.02880648,4
0.01845958,14
0.03192018,21
0.04132972,4
0.01487627,5
0.07961845,35
0.12269721,17
0.02398143,9
0.00151647,4
0.01478693,4
0.01406718,4
0.06466757,41
0.04635362,18
0.00380625,3
0.02046537,3
0.03272914,9
0.03679478,5
0.00700488,4
0.01868744,10
0.00176052,4
0.00925957,4
0.00404048,8
0.04634802,9
0.02682203,5
0.00540038,6
0.20440007,36
0.08461008,33
0.05992335,13
0.00272555,3
0.12978349,69
0.02760379,7
0.02857038,12
0.03705261,7
0.0512483,11
0.05492231,10
0.23644667,49
0.03176634,7
0.00957627,8
0.086887,40
0.02539313,16
0.03940468,8
0.029484,17
0.07392957,26
0.02592621,17
0.00534185,5
0.01588703,8
0.03234496,5
0.0024031,9
0.02369426,6
0.0199189,5
0.02878688,15
0.0260738,5
0.00433804,4
0.03480991,3
0.08188963,20
0.00118009,22
0.01830869,6
0.0362811,9
0.01780432,7
0.01598291,4
0.29542035,107
0.02882423,10
0.14927888,14
0.00940613,8
0.00363182,3
0.01812287,14
0.33895758,107
0.01262274,3
0.04946102,5
0.02579785,6
0.20652858,27
0.12841014,71
0.06740983,6
0.25722405,78
0.03510568,9
0.01903267,8
0.0086823,5
0.04736907,14
0.00066009,3
0.02231998,12
0.0241939,10
0.00051983,4
0.01711923,6
0.03090853,3
0.01704361,16
0.00800018,4
0.00850067,7
0.0352637,11
0.01898127,8
0.03000092,7
0.04298522,5
0.00033482,5
0.00181634,5
0.03597518,8
0.0438257,5
0.00079654,3
0.02173864,3
0.01957626,5
0.78511542,106
0.03747466,6
0.27973683,26
0.0109443,4
0.0107091,7
0.00644584,4
0.02770622,5
0.04991508,26
0.08596974,15
0.00435237,8
0.12061955,5
0.02377061,7
0.02346146,3
0.03627876,11
0.020703,14
0.00600526,3
0.00814404,8
0.02394879,3
0.02441891,15
0.02095922,8
0.04603086,19
0.00340334,5
0.18997597,20
0.05219003,17
0.02448254,5
0.38079148,11
0.00071004,11
0.03203336,13
0.00267772,7
0.03559009,9
0.05276374,18
0.01914483,4
0.02191059,5
0.00191774,4
0.01322469,4
0.0293616,4
0.06219599,38
0.17285979,62
0.41309659,82
0.03201932,4
0.02852149,22
0.03922425,13
0.0241594,12
0.01770042,11
0.03835412,11
0.02933617,16
0.01048685,6
0.09798664,3
0.01658137,16
0.00527351,16
0.16845572,64
0.05221697,17
0.0181669,11
0.00018169,11
0.0652945,8
0.04955135,8
0.05847525,19
0.02215246,8
0.01849712,9
0.11338886,51
0.01598002,5
0.028283,25
0.02049975,6
0.03901936,5
0.01263049,13
0.10018863,31
0.02315794,4
0.01124681,10
0.04042662,7
0.06700111,17
0.67165692,11
0.00411512,6
0.01962706,9
9.2e-05,4
0.00793567,4
0.00975287,5
0.00893752,5
0.04955024,10
0.03023468,9
0.02261761,3
0.67301161,61
0.02268087,3
0.02885293,15
0.00020871,4
0.00533156,9
0.08264647,26
0.01294239,4
0.02010435,67
0.01713811,6
0.04397978,6
0.00267467,6
0.00588768,3
0.00254753,4
0.01951797,12
0.0703779,31
0.01632488,5
0.00991981,5
0.00657327,3
0.01904894,6
0.01497226,3
0.05732217,4
0.0211519,5
0.00571337,12
0.0325885,9
0.00235334,3
0.01609061,4
0.08827798,32
0.13989263,24
0.06826127,11
0.01791761,9
0.04418024,12
0.04907389,3
0.02537791,6
0.04482628,5
0.03076571,11
0.13238519,30
0.03704877,3
0.00530197,3
0.00964812,3
0.02631983,4
0.00957356,3
0.01095563,9
0.06059812,18
0.01782406,13
0.18437778,8
0.00253238,3
0.02595429,14
0.00150557,9
0.00889551,5
0.01647881,6
0.01900425,4
0.02756553,8
0.04560033,19
0.0147056,6
0.0062185,4
0.05517868,21
0.12589292,6
0.02303656,5
0.00992782,5
0.02980269,8
0.02820526,4
0.06648228,15
0.00238741,3
0.00056831,8
0.12584845,46
0.01255023,6
0.05672843,9
0.01543933,10
0.00417802,5
0.14532092,46
0.34836289,134
0.02883598,7
0.03665938,9
0.19169417,43
0.03142855,3
0.00682322,3
0.05856497,16
0.01312954,8
0.00885728,9
0.08146411,37
0.03161435,11
0.02803701,14
0.02215299,10
0.04468281,25
0.00225038,5
0.00564605,8
0.16034689,31
0.03287963,7
0.01935751,11
0.00396444,7
0.02037702,21
0.02232393,8
0.00288046,6
0.10132141,46
0.03058525,6
0.01025713,7
0.32960545,77
0.01564144,10
0.00165248,3
0.02044985,6
0.22999544,47
0.05365346,8
0.01444906,3
0.03227352,10
0.00207789,4
0.00628681,3
0.01263072,4
0.00911014,6
0.00352049,10
0.09786169,15
0.04804982,8
0.00022388,7
0.09505982,3
0.00902872,5
0.09680146,32
